job_code,name
2174,환경플랜트
2175,BIM
2176,CCTV공사
2177,에너지관리
2178,전기제어
2179,지역개발
2180,HVAC
2181,3DMax
2182,스케치업
2183,Abaqus
2184,AutoCAD
2185,TEKLA
2236,보험심사청구사
501,간병인
523,기능검사
551,가정의학과
587,내시경실
623,2교대
461,치과위생사
502,구급차기사
524,드레싱보조
552,감염내과
588,호스피스
624,3교대
462,간호사
503,두피관리사
525,모발이식
553,구강내과
589,회복실
625,당직
463,놀이치료사
504,병동보호사
526,방문간호
554,구강외과
590,신생아실
626,D-Keep
464,도수치료사
505,병원경리
527,병원경영
555,내과
591,응급실
627,D/E
465,마취간호사
506,병원총무
528,병원관리
556,내분비내과
592,인공신장실
628,D/N
466,물리치료사
507,병원코디네이터
529,보건진단
557,대장항문외과
593,중환자실
629,E-Keep
467,미술치료사
508,병원행정사
530,수술
558,마취통증의학과
594,처치실
630,E/N
468,방사선사
509,보건관리자
531,수술보조
559,병리과
595,주사실
631,N-Keep
469,산업간호사
510,비만관리사
532,스포츠마사지
560,비뇨기과
596,촬영실
632,S-Keep
470,상담간호사
511,상담실장
533,외래
561,산부인과
597,개인병원
471,수간호사
512,심리운동사
534,원무
562,성형외과
598,검진센터
472,수의사
513,약국전산원
535,의료영상
563,소아과
599,노인전문병원
473,수의테크니션
514,영양사
536,의약사무
564,소화기내과
600,대학병원
474,심리치료사
515,요양보호사
537,임상시험
565,순환기내과
601,동물병원
475,심사간호사
516,운동처방사
538,입원관리
566,신경외과
602,보건소
476,약사
517,위생사
539,접수/예약
567,신장내과
603,비만클리닉
477,언어치료사
518,응급구조사
540,제약QA
568,안과
604,산후조리원
478,운동치료사
519,보건의료정보관리사
541,조제보조
569,알레르기내과
605,심혈관센터
479,음악치료사
520,의지보조기기사
542,진료보조
570,약제과
606,아동병원
480,의공기사
521,정신과보호사
543,채혈
571,영상의학과
607,암센터
481,의사
522,MR
544,처방
572,외과
608,약국
482,인지치료사
545,침구실보조
573,이비인후과
609,여성병원
483,임상병리사
546,행동치료
574,재활의학과
610,여성의원
484,임상심리사
547,환자안내
575,정신과
611,요양병원
485,작업치료사
548,환자이송
576,정형외과
612,일반병원
486,재활치료사
549,RA
577,직업환경의학과
613,재활센터
487,전공의
550,조직병리
578,진단검사의학과
614,정신병원
488,전문의
579,치과
615,종합병원
489,책임간호사
580,통증의학과
616,주야간보호센터
490,청능사/청각사
581,피부과
617,척추병원
491,초음파사
582,한방과
618,치과병원
492,치기공사
583,핵의학과
619,치과의원
493,한약사
584,혈액종양내과
620,한방병원
494,한의사
585,호흡기내과
621,한의원
